日付,レース,予想1着枠,予想2頭,予想3頭,実際1着枠,1頭的中,2頭的中,3頭的中,レース評価,頭確度,信頼度
20160416,3,2,"2,6","2,6,3",3,0,0,1,注意,普通,低
20160416,4,1,"1,5","1,5,6",5,0,1,1,注意,普通,低
20160416,5,5,"5,1","5,1,6",5,1,1,1,見,低い,低
20160416,8,6,"6,5","6,5,3",1,0,0,0,見,低い,低
20160416,9,5,"5,6","5,6,4",1,0,0,0,見,低い,低
20160416,10,5,"5,2","5,2,1",1,0,0,1,見,低い,低
20160416,11,3,"3,1","3,1,4",6,0,0,0,注意,普通,低
20160416,12,2,"2,6","2,6,5",1,0,0,0,注意,普通,低
20160417,1,1,"1,6","1,6,4",2,0,0,0,注意,普通,低
20160417,2,5,"5,6","5,6,4",3,0,0,0,見,低い,低
20160417,3,4,"4,1","4,1,6",1,0,1,1,注意,普通,低
20160417,5,1,"1,4","1,4,3",2,0,0,0,見,低い,低
20160417,7,5,"5,1","5,1,6",1,0,1,1,見,低い,低
20160417,8,4,"4,5","4,5,6",1,0,0,0,注意,普通,低
20160417,10,2,"2,6","2,6,5",2,1,1,1,見,普通,低
20160417,11,6,"6,5","6,5,1",5,0,1,1,見,低い,低
20160417,12,4,"4,5","4,5,2",1,0,0,0,注意,普通,低
20160423,1,5,"5,6","5,6,4",3,0,0,0,見,低い,低
20160423,2,4,"4,5","4,5,6",4,1,1,1,買い,高い,中
20160423,3,4,"4,6","4,6,2",2,0,0,1,見,低い,低
20160423,4,2,"2,5","2,5,4",2,1,1,1,注意,普通,低
20160423,5,4,"4,1","4,1,6",3,0,0,0,注意,普通,低
20160423,6,3,"3,5","3,5,4",4,0,0,1,注意,普通,低
20160423,7,6,"6,3","6,3,2",1,0,0,0,見,低い,低
20160423,8,6,"6,1","6,1,2",4,0,0,0,見,低い,低
20160423,9,1,"1,6","1,6,5",1,1,1,1,買い,高い,中
20160423,11,3,"3,6","3,6,4",5,0,0,0,見,低い,低
20160423,12,2,"2,1","2,1,5",1,0,1,1,注意,普通,低
20160424,1,3,"3,5","3,5,4",5,0,1,1,見,低い,低
20160424,3,2,"2,3","2,3,5",4,0,0,0,注意,普通,低
20160424,4,1,"1,5","1,5,2",1,1,1,1,見,普通,低
20160424,5,2,"2,6","2,6,5",6,0,1,1,注意,普通,低
20160424,6,5,"5,2","5,2,4",4,0,0,1,見,低い,中
20160424,8,1,"1,3","1,3,5",3,0,1,1,注意,普通,低
20160424,9,6,"6,2","6,2,4",1,0,0,0,見,低い,低
20160424,10,3,"3,5","3,5,1",3,1,1,1,注意,普通,低
20160424,11,3,"3,1","3,1,6",4,0,0,0,見,普通,低
20160424,12,5,"5,4","5,4,2",1,0,0,0,注意,普通,低
20160425,1,2,"2,5","2,5,6",2,1,1,1,注意,普通,低
20160425,2,6,"6,5","6,5,3",1,0,0,0,注意,普通,低
20160425,3,5,"5,2","5,2,1",2,0,1,1,見,低い,低
20160425,4,2,"2,5","2,5,6",6,0,0,1,買い,高い,中
20160425,5,2,"2,3","2,3,1",2,1,1,1,見,普通,低
20160425,6,2,"2,3","2,3,5",2,1,1,1,注意,普通,低
20160425,7,4,"4,6","4,6,5",1,0,0,0,見,低い,低
20160425,8,4,"4,6","4,6,3",3,0,0,1,見,低い,低
20160425,9,1,"1,6","1,6,5",1,1,1,1,注意,普通,低
20160425,10,1,"1,4","1,4,5",3,0,0,0,注意,普通,低
20160425,11,1,"1,6","1,6,4",1,1,1,1,注意,普通,低
20160425,12,1,"1,4","1,4,6",1,1,1,1,買い,高い,中
20160426,1,1,"1,4","1,4,6",1,1,1,1,注意,普通,低
20160426,2,3,"3,1","3,1,5",3,1,1,1,注意,普通,低
20160426,3,2,"2,6","2,6,4",1,0,0,0,注意,普通,低
20160426,4,5,"5,6","5,6,4",2,0,0,0,見,低い,低
20160426,5,2,"2,1","2,1,6",1,0,1,1,注意,普通,低
20160426,6,6,"6,5","6,5,4",1,0,0,0,注意,普通,低
20160426,7,1,"1,4","1,4,6",4,0,1,1,注意,普通,低
20160426,8,5,"5,2","5,2,4",4,0,0,1,見,低い,低
20160426,9,4,"4,6","4,6,2",2,0,0,1,見,低い,低
20160426,10,1,"1,5","1,5,6",1,1,1,1,注意,普通,低
20160426,12,2,"2,1","2,1,6",5,0,0,0,見,高い,中
20160503,1,3,"3,5","3,5,4",2,0,0,0,見,低い,低
20160503,2,4,"4,3","4,3,5",4,1,1,1,注意,普通,低
20160503,3,2,"2,6","2,6,3",2,1,1,1,注意,普通,低
20160503,4,2,"2,4","2,4,5",2,1,1,1,注意,普通,低
20160503,5,5,"5,2","5,2,3",4,0,0,0,見,低い,低
20160503,7,5,"5,6","5,6,3",2,0,0,0,注意,普通,低
20160503,8,2,"2,4","2,4,5",1,0,0,0,注意,普通,低
20160503,9,4,"4,5","4,5,6",5,0,1,1,注意,普通,低
20160503,10,1,"1,5","1,5,6",1,1,1,1,注意,普通,低
20160503,11,2,"2,1","2,1,6",6,0,0,1,買い,高い,中
20160503,12,1,"1,6","1,6,5",1,1,1,1,注意,普通,低
20160504,2,6,"6,5","6,5,3",4,0,0,0,見,低い,低
20160504,3,1,"1,3","1,3,5",1,1,1,1,注意,普通,低
20160504,4,1,"1,3","1,3,2",1,1,1,1,注意,普通,低
20160504,5,4,"4,1","4,1,3",1,0,1,1,注意,普通,低
20160504,6,1,"1,4","1,4,6",4,0,1,1,見,普通,低
20160504,7,1,"1,4","1,4,6",1,1,1,1,注意,普通,低
20160504,8,6,"6,5","6,5,2",2,0,0,1,見,低い,低
20160504,9,6,"6,4","6,4,3",1,0,0,0,見,低い,低
20160504,10,5,"5,3","5,3,6",3,0,1,1,注意,普通,低
20160504,11,1,"1,5","1,5,6",2,0,0,0,注意,普通,低
20160504,12,5,"5,1","5,1,6",1,0,1,1,注意,普通,低
20160505,1,1,"1,4","1,4,5",1,1,1,1,注意,普通,低
20160505,2,1,"1,4","1,4,6",4,0,1,1,注意,普通,低
20160505,3,4,"4,1","4,1,5",2,0,0,0,注意,普通,低
20160505,4,3,"3,6","3,6,1",3,1,1,1,注意,普通,低
20160505,6,4,"4,6","4,6,3",1,0,0,0,注意,普通,低
20160505,7,4,"4,2","4,2,1",1,0,0,1,注意,普通,低
20160505,8,1,"1,6","1,6,5",4,0,0,0,注意,普通,低
20160505,9,1,"1,2","1,2,6",1,1,1,1,注意,普通,低
20160505,10,1,"1,4","1,4,6",5,0,0,0,注意,普通,低
20160505,11,6,"6,2","6,2,3",2,0,1,1,見,低い,低
20160505,12,2,"2,1","2,1,3",1,0,1,1,注意,普通,低
20160506,1,5,"5,3","5,3,4",1,0,0,0,見,低い,低
20160506,3,5,"5,4","5,4,3",1,0,0,0,注意,普通,低
20160506,4,4,"4,2","4,2,1",2,0,1,1,見,低い,低
20160506,5,1,"1,6","1,6,3",3,0,0,1,注意,普通,低
20160506,6,3,"3,1","3,1,5",2,0,0,0,注意,普通,中
20160506,7,3,"3,5","3,5,6",1,0,0,0,注意,普通,低
20160506,8,6,"6,5","6,5,3",1,0,0,0,注意,普通,低
20160506,9,3,"3,1","3,1,5",5,0,0,1,注意,普通,低
20160506,10,2,"2,5","2,5,6",2,1,1,1,注意,普通,低
20160506,11,1,"1,5","1,5,4",5,0,1,1,注意,普通,低
20160506,12,1,"1,6","1,6,3",1,1,1,1,注意,普通,低
20160507,1,6,"6,3","6,3,5",6,1,1,1,見,低い,低
